q,aic,bic
1,5890.340670527872,5904.611467695615
2,5213.515316471685,5232.543046028675
3,4804.514651661462,4828.2993136077
4,4578.5649247734955,4607.106519108981
5,4354.900182077012,4388.198708801745
6,4241.927674292931,4279.983133406912
7,4158.763753532448,4201.576145035677
8,4102.590737677461,4150.160061569936
9,4020.2621261891595,4072.5883824708826
10,3980.8036298959723,4037.886818566943
11,3956.149059845324,4017.989180905542
12,3946.3352471783874,4012.9323006278532
13,3903.6395125559834,3974.993498394697
14,4229.597225130043,4305.708143358003
15,3884.549749409669,3965.417600026877
16,3877.3146830258233,3962.939466032279
17,3860.92909346202,3951.3108088577233
18,3850.696128100229,3945.83477588518
19,3847.4078869306263,3947.303467104825
20,3836.284241536754,3940.9367541002002
